City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
51,Castro,BR,65.86,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
55,Mar Del Plata,AR,66.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
61,Arraial Do Cabo,BR,75.72,clear sky,-22.9661,-42.0278,Pousada Porto Praia
62,Kapaa,US,78.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Los Llanos De Aridane,ES,60.55,few clouds,28.6585,-17.9182,Valle Aridane
73,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
76,Inyonga,TZ,64.06,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
78,East London,ZA,73.27,overcast clouds,-33.0153,27.9116,Tu Casa
80,Tuatapere,NZ,67.82,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
81,Ponta Do Sol,PT,61.43,overcast clouds,32.6667,-17.1,Hotel do Campo
83,Bengkulu,ID,76.12,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
85,Payo,ID,72.95,overcast clouds,-3.7508,103.6372,Mess keban agung
86,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
90,Takaka,NZ,67.55,broken clouds,-40.85,172.8,Golden Bay Motels
93,Bhatkal,IN,73.53,clear sky,13.9667,74.5667,Nilawar Palace
95,Mattru,SL,74.93,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
98,Bambanglipuro,ID,62.6,light rain,-7.95,110.2833,Puri Brata
102,Padang,ID,71.65,overcast clouds,-0.9492,100.3543,Mercure Padang
115,Abu Dhabi,AE,63.97,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
116,Mahajanga,MG,76.68,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
118,Port Antonio,JM,78.94,scattered clouds,18.18,-76.4612,The Trident Hotel
120,Gashua,NG,68.88,clear sky,12.871,11.0482,Forte Oil - Old Lorry Park
124,Hualmay,PE,72.48,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
125,Bubaque,GW,77.94,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
126,Buchanan,LR,78.84,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
129,Hobart,AU,63.27,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
130,Marawi,PH,67.64,overcast clouds,7.9986,124.2928,Derogongan Residence
134,Tsabong,BW,79.14,broken clouds,-26.0217,22.401,Springbok Motel
138,Sri Aman,MY,74.44,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
148,Codrington,AU,69.22,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
150,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
155,Durban,ZA,78.93,overcast clouds,-29.8579,31.0292,Hilton Durban
156,Caravelas,BR,75.78,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
157,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
158,Praya,CV,71.94,broken clouds,14.9215,-23.5087,LT Aparthotel
160,Port Lincoln,AU,70.03,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
167,Burnie,AU,74.95,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
170,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
172,Miandrivazo,MG,76.84,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
174,Chitipa,MW,61.43,overcast clouds,-9.7024,33.2697,Tulipoka Lodges
